release date,sentiment_value
2000-02-02,0.856
2000-03-10,-0.7
2000-03-21,0.778
2000-05-16,0.888
2000-06-28,-0.022
2000-08-22,0.402
2000-10-03,0.718
2000-11-15,-0.004
2000-12-19,0.743
2001-01-03,0.681
2001-01-31,0.937
2001-03-20,0.802
2001-04-18,0.937
2001-06-27,0.859
2001-08-21,0.935
2001-09-11,-1.0
2001-09-17,0.612
2001-10-02,0.66
2001-11-06,0.818
2001-12-11,0.913
2002-01-30,0.743
2002-03-19,0.691
2002-05-07,0.743
2002-06-26,0.943
2002-08-13,0.402
2002-08-15,1.0
2002-09-24,0.228
2002-09-26,1.0
2002-10-09,-0.6
2002-12-10,0.914
2003-01-29,0.866
2003-03-18,0.773
2003-03-20,-0.8
2003-05-06,0.765
2003-08-12,0.34
2003-09-16,0.318
2003-10-28,-0.006
2003-12-09,0.558
2004-01-28,0.587
2004-03-16,-0.032
2004-05-04,0.832
2005-02-02,0.972
2005-09-20,0.9
2005-10-11,1.0
2005-11-01,0.906
2005-12-13,0.777
2006-01-31,0.875
2006-08-08,0.778
2006-09-20,0.34
2006-10-25,0.382
2006-12-12,0.483
2007-01-03,1.0
2007-01-31,0.369
2007-03-21,0.649
2007-05-09,0.402
2007-06-28,0.459
2007-08-07,0.92
2007-08-09,-0.9
2007-08-10,0.637
2007-08-16,0.758
2007-10-31,0.872
2008-01-21,0.899
2008-01-30,0.923
2008-03-16,-1.0
2008-03-18,0.943
2008-04-30,0.959
2008-08-08,0.898
2008-09-15,-1.0
2008-09-16,0.869
2008-10-07,0.902
2009-01-26,-0.9
2009-03-17,0.981
2009-05-20,1.0
2009-09-02,1.0
2010-05-06,-0.7
2010-05-09,0.511
2010-06-23,0.107
2010-08-10,0.938
2010-09-21,0.798
2010-10-12,1.0
2011-04-27,0.99
2011-08-08,-0.8
2011-08-09,0.461
2012-04-30,-0.9
2012-06-09,-0.7
2012-08-01,0.766
2012-08-22,1.0
2012-10-04,1.0
2013-05-01,0.997
2013-11-20,1.0
2015-01-07,1.0
2015-01-28,0.987
2015-04-08,1.0
2015-08-24,-0.7
2016-09-21,0.993
2017-07-26,0.936
2017-09-20,0.876
2017-11-01,0.899
2017-12-13,0.928
2018-01-31,0.914
2018-05-02,0.958
2018-06-13,0.949
2018-08-01,0.939
2018-09-26,0.856
2018-11-08,0.92
2018-12-19,0.572
2019-01-30,0.906
2019-03-20,0.931
2019-05-01,0.863
2019-06-19,0.202
2019-07-31,0.768
2019-09-18,0.036
2019-10-30,0.459
2019-12-11,0.625
2019-12-15,-0.8
2020-01-29,0.202
2020-03-03,0.511
2020-03-15,0.991
2020-03-16,-1.0
2020-04-20,-0.9
2020-07-01,1.0
2021-04-28,0.991
2021-09-22,0.994
2022-02-24,-0.9
2022-03-16,0.838
2022-05-04,0.342
2022-06-15,0.153
2022-07-27,0.791
2022-09-21,0.66
2022-10-13,-0.8
2022-11-02,0.402
2022-12-14,0.599
2023-02-01,0.214
2023-03-10,-0.8
2023-03-22,0.859
2023-05-03,0.784
2023-05-24,1.0
2023-06-14,0.848
2023-07-26,0.784
2023-09-20,0.891
2023-11-01,0.909
2023-12-13,0.935
2024-11-05,-0.8
2024-11-07,0.892
2024-12-18,0.892
2025-01-29,0.772
2025-03-19,0.931
2025-05-07,0.625
2025-05-28,1.0